"","year","country","reading","math","science","gdp"
"142","2012","Bulgaria",436,439,446,4523.0508329806
"144","2012","Croatia",485,471,491,11797.4744733882
"146","2012","Indonesia",396,375,382,1589.80148866142
"148","2012","Montenegro",422,410,410,4425.67887307803
"149","2012","Qatar",388,376,384,59530.5610001944
"150","2012","Romania",438,445,439,5757.4964285719
"152","2012","Thailand",441,427,444,3369.54319807344
"153","2012","Uruguay",411,409,416,5887.84516224163
"155","2009","Australia",515,514,527,36117.487983674
"156","2009","Austria",470,496,494,40669.3269586152
"157","2009","Belgium",506,515,507,38705.1067959147
"158","2009","Canada",524,527,529,40504.0607253203
"159","2009","Chile",449,421,447,9464.54850677338
"160","2009","Colombia",413,381,402,3741.09283661274
"161","2009","Czech Republic",478,493,500,15261.7975911138
"162","2009","Denmark",495,503,499,52026.9995142723
"163","2009","Estonia",501,512,528,12639.4000677296
"164","2009","Finland",536,541,554,41222.6020004611
"165","2009","France",496,497,498,36474.1595859967
"166","2009","Germany",497,513,520,36353.8803343631
"167","2009","Greece",483,466,470,24821.9367451879
"168","2009","Hungary",494,490,503,11493.1004118789
"169","2009","Iceland",500,507,496,57492.9342498703
"170","2009","Ireland",496,487,508,54329.1618599624
"171","2009","Israel",474,447,455,21853.140239801
"172","2009","Italy",486,483,489,33529.7266014361
"173","2009","Japan",520,529,539,35991.546002862
"175","2009","Latvia",484,482,494,9723.44690174779
"176","2009","Lithuania",468,477,491,9230.70798102521
"177","2009","Luxembourg",472,489,484,90788.8004876145
"178","2009","Mexico",425,419,416,9068.29421839425
"179","2009","Netherlands",508,526,522,44900.9381441374
"180","2009","New Zealand",521,519,532,26654.5932018985
"181","2009","Norway",503,498,500,74148.3200757187
"182","2009","Poland",500,495,508,9035.41046744936
"183","2009","Portugal",489,487,493,19839.4540499032
"184","2009","Slovak Republic",477,497,490,13170.7849804675
"185","2009","Slovenia",483,501,512,19672.9655554146
"186","2009","Spain",481,483,488,28389.0785799873
"187","2009","Sweden",497,494,495,46593.6021646111
"188","2009","Switzerland",501,534,517,59300.6172165015
"189","2009","Turkey",464,445,454,8101.85692374776
"190","2009","United Kingdom",494,492,514,44654.0969208924
"191","2009","United States",500,487,502,46298.7314440927
"192","2009","Brazil",412,386,405,5886.39152194816
"193","2009","Bulgaria",429,428,439,4523.0508329806
"195","2009","Croatia",476,460,486,11797.4744733882
"197","2009","Indonesia",402,371,383,1589.80148866142
"199","2009","Montenegro",408,403,401,4425.67887307803
"200","2009","Qatar",372,368,379,59530.5610001944
"201","2009","Romania",424,427,428,5757.4964285719
"203","2009","Thailand",421,419,425,3369.54319807344
"204","2009","Uruguay",426,427,427,5887.84516224163
"206","2006","Australia",513,520,527,36117.487983674
"207","2006","Austria",490,505,511,40669.3269586152
"208","2006","Belgium",501,520,510,38705.1067959147
"209","2006","Canada",527,527,534,40504.0607253203
"210","2006","Chile",442,411,438,9464.54850677338
"211","2006","Colombia",385,370,388,3741.09283661274
"212","2006","Czech Republic",483,510,513,15261.7975911138
"213","2006","Denmark",494,513,496,52026.9995142723
"214","2006","Estonia",501,515,531,12639.4000677296
"215","2006","Finland",547,548,563,41222.6020004611
"216","2006","France",488,496,495,36474.1595859967
"217","2006","Germany",495,504,516,36353.8803343631
"218","2006","Greece",460,459,473,24821.9367451879
"219","2006","Hungary",482,491,504,11493.1004118789
"220","2006","Iceland",484,506,491,57492.9342498703
"221","2006","Ireland",517,501,508,54329.1618599624
"222","2006","Israel",439,442,454,21853.140239801
"223","2006","Italy",469,462,475,33529.7266014361
"224","2006","Japan",498,523,531,35991.546002862
"226","2006","Latvia",479,486,490,9723.44690174779
"227","2006","Lithuania",470,486,488,9230.70798102521
"228","2006","Luxembourg",479,490,486,90788.8004876145
"229","2006","Mexico",410,406,410,9068.29421839425
"230","2006","Netherlands",507,531,525,44900.9381441374
"231","2006","New Zealand",521,522,530,26654.5932018985
"232","2006","Norway",484,490,487,74148.3200757187
"233","2006","Poland",508,495,498,9035.41046744936
"234","2006","Portugal",472,466,474,19839.4540499032
"235","2006","Slovak Republic",466,492,488,13170.7849804675
"236","2006","Slovenia",494,504,519,19672.9655554146
"237","2006","Spain",461,480,488,28389.0785799873
"238","2006","Sweden",507,502,503,46593.6021646111
"239","2006","Switzerland",499,530,512,59300.6172165015
"240","2006","Turkey",447,424,424,8101.85692374776
"241","2006","United Kingdom",495,495,515,44654.0969208924
"242","2006","United States",0,474,489,46298.7314440927
"243","2006","Brazil",393,370,390,5886.39152194816
"244","2006","Bulgaria",402,413,434,4523.0508329806
"246","2006","Croatia",477,467,493,11797.4744733882
"248","2006","Indonesia",393,391,393,1589.80148866142
"250","2006","Montenegro",392,399,412,4425.67887307803
"251","2006","Qatar",312,318,349,59530.5610001944
"252","2006","Romania",396,415,418,5757.4964285719
"254","2006","Thailand",417,417,421,3369.54319807344
"255","2006","Uruguay",413,427,428,5887.84516224163
